Codigo,Status_Rastreio,Data,Local
OG355515128BR,Objeto entregue ao destinatário,21/02/2019, MOGI DAS CRUZES/SP
PS290379576BR,Objeto entregue ao destinatário,21/02/2019, Barretos/SP
PS290459190BR,Objeto entregue ao destinatário,01/03/2019, FORTALEZA/CE
PS290502627BR,Objeto entregue ao destinatário,22/02/2019, VALENCA/RJ
PS290486235BR,Objeto entregue ao destinatário,25/02/2019, PITANGUI/MG
PS290140401BR,Objeto entregue ao destinatário,25/02/2019, Rio De Janeiro/RJ
PS290135242BR,Objeto entregue ao destinatário,22/02/2019, BELO HORIZONTE/MG
PS290285352BR,Objeto entregue ao destinatário,28/02/2019, SAO LUIS/MA
PS290286534BR,Objeto entregue ao destinatário,28/02/2019, MACEIO/AL
PS290421883BR,Objeto entregue ao destinatário,22/02/2019, BETIM/MG
PS290339563BR,Objeto entregue ao destinatário,26/02/2019, SANTA MARIA/RS
PS290348463BR,Objeto entregue ao destinatário,02/03/2019, CAMPO GRANDE/MS
PS290507876BR,Objeto encaminhado,21/02/2019, CAJAMAR/SP
PS290526570BR,Objeto entregue ao destinatário,26/02/2019, JANDAIA DO SUL/PR
PS290228430BR,Objeto entregue ao destinatário,27/02/2019, Parelhas/RN
PS290460459BR,Objeto entregue ao destinatário,25/02/2019, JOINVILLE/SC
PS290305247BR,Objeto entregue ao destinatário,01/03/2019, FORTALEZA/CE
OG673304260BR,Objeto entregue ao destinatário,23/02/2019, JUNDIAI/SP
OG355432370BR,Objeto entregue ao destinatário,21/02/2019, SAO PAULO/SP
PS290121708BR,Objeto entregue ao destinatário,27/02/2019, PORTO ALEGRE/RS
PS290471876BR,Objeto entregue ao destinatário,22/02/2019, MESQUITA/RJ
PS290348640BR,Objeto entregue ao destinatário,25/02/2019, RIO DE JANEIRO/RJ
PS290391869BR,Objeto entregue ao destinatário,25/02/2019, Rio De Janeiro/RJ
OG355580360BR,Objeto entregue ao destinatário,21/02/2019, BRAGANCA PAULISTA/SP
PS290346502BR,Objeto entregue ao destinatário,26/02/2019, FLORIANOPOLIS/SC
PS290499667BR,Objeto entregue ao destinatário,22/02/2019, Taubate/SP
PS290284017BR,Objeto entregue ao destinatário,22/02/2019, RIO DE JANEIRO/RJ
PS290532178BR,Objeto entregue ao destinatário,26/02/2019, SANTA VITORIA DO PALMAR/RS
PS290540214BR,Objeto encaminhado,20/02/2019, CAJAMAR/SP
PS290345524BR,Objeto entregue ao destinatário,22/02/2019, Presidente Epitacio/SP
PS290465685BR,Objeto entregue ao destinatário,27/02/2019, CESARIO LANGE/SP
OG355608730BR,Objeto entregue ao destinatário,21/02/2019, SOROCABA/SP
PS290536798BR,Status não encontrado,N/A,N/A
PS290277648BR,Objeto entregue ao destinatário,26/02/2019, TERESOPOLIS/RJ
PS290411625BR,Objeto entregue ao destinatário,25/02/2019, BOM JARDIM DE GOIAS/GO
PS290591953BR,Objeto entregue ao destinatário,25/02/2019, Rialma/GO
PS290585269BR,Objeto entregue ao destinatário,22/02/2019, CAPAO DA CANOA/RS
PS290247385BR,Objeto entregue ao destinatário,22/02/2019, BELO HORIZONTE/MG
PS290528403BR,Objeto entregue ao destinatário,25/02/2019, JUIZ DE FORA/MG
PS290417402BR,Objeto entregue ao destinatário,23/02/2019, Rio De Janeiro/RJ
PS290215498BR,Objeto entregue ao destinatário,28/02/2019, CHARQUEADAS/RS
OG673520944BR,Objeto entregue ao destinatário,22/02/2019, SAO PAULO/SP
OG355529113BR,Objeto entregue ao destinatário,21/02/2019, Carapicuiba/SP
PS290541356BR,Objeto entregue ao destinatário,26/02/2019, BARRA DOS COQUEIROS/SE
PS290522547BR,Objeto entregue ao destinatário,25/02/2019, SERTAOZINHO/SP
OG673264217BR,Objeto entregue ao destinatário,26/02/2019, Carire/CE
OG355552545BR,Objeto entregue ao destinatário,23/02/2019, RECIFE/PE
OG673622268BR,Objeto entregue ao destinatário,22/02/2019, SAO PAULO/SP
OG673521026BR,Objeto entregue ao destinatário,26/02/2019, PORTO VELHO/RO
OG355490443BR,Objeto entregue ao destinatário,22/02/2019, DIAS D AVILA/BA
OG673525924BR,Objeto entregue ao destinatário,22/02/2019, VOTUPORANGA/SP
PS290292849BR,Objeto entregue ao destinatário,28/02/2019, JABOATAO DOS GUARARAPES/PE
OG673695543BR,Objeto entregue ao destinatário,22/02/2019, Pitangueiras/SP
OG355442831BR,Objeto entregue ao destinatário,21/02/2019, SAO PAULO/SP
